Name,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,BF,Strike Rate,Hundreds,Fifties,Ducks,Fours,Sixes
Abdulla Bhoola (PAN),2023-2023,2,2,1,7,7*,7.00,11,63.63,0,0,1,1,0
Adnan Razzaq (Belg),2021-2024,10,3,2,7,6*,7.00,6,116.66,0,0,0,0,1
Aftab Hussain (HKG),2020-2022,10,3,3,7,5*,-,5,140.00,0,0,0,1,0
K Akurugoda (HUN),2022-2022,2,2,0,7,7,3.50,10,70.00,0,0,1,0,1
Ali Hussain (ROM),2024-2024,5,3,1,7,7*,3.50,11,63.63,0,0,2,1,0
Al-Amin Hossain (BAN),2013-2020,31,6,4,7,5*,3.50,12,58.33,0,0,1,1,0
RP Arnold (SL),2006-2006,1,1,0,7,7,7.00,7,100.00,0,0,0,0,0
Arshad Mazarzei (Iran),2020-2020,3,3,0,7,5,2.33,40,17.50,0,0,0,1,0
Ashraful Shuvo (EST),2021-2021,3,2,0,7,5,3.50,12,58.33,0,0,0,0,0
JP Behrendorff (AUS),2017-2024,17,2,1,7,5,7.00,9,77.77,0,0,0,0,0
SVE Bharathi (GER),2020-2023,37,6,2,7,4*,1.75,16,43.75,0,0,3,0,0
JT Brassell (NAM),2024-2024,13,3,2,7,5*,7.00,10,70.00,0,0,1,1,0
NB Budayair (NEP),2014-2014,4,3,1,7,5,3.50,19,36.84,0,0,1,0,0
MA Carberry (ENG),2014-2014,1,1,0,7,7,7.00,7,100.00,0,0,0,1,0
PKD Chase (IRE),2018-2019,12,5,4,7,4,7.00,13,53.84,0,0,0,1,0
DK Dahani (Iran),2020-2020,3,3,0,7,4,2.33,8,87.50,0,0,1,1,0
DC Delany (IRE),2019-2019,8,2,0,7,7,3.50,6,116.66,0,0,1,0,0
MR Dorgan (SRB),2021-2021,3,2,1,7,4,7.00,15,46.66,0,0,0,0,0
S Elayaperumal (Mex),2024-2024,5,5,0,7,3,1.40,24,29.16,0,0,1,0,0
Faizalmahmed Patel (SWZ),2023-2023,2,1,1,7,7*,-,4,175.00,0,0,0,1,0
Fazil Rahman (MLT),2023-2023,6,5,2,7,6*,2.33,16,43.75,0,0,3,1,0
MD Garratt (GIBR),2019-2021,8,4,2,7,4,3.50,21,33.33,0,0,0,0,0
Hasan Mahmud (BAN),2020-2024,21,6,4,7,3,3.50,15,46.66,0,0,1,0,0
V Hristov (BUL),2021-2023,4,2,0,7,5,3.50,11,63.63,0,0,0,0,0
SJ Hughes-Pinan (ESP),2024-2024,4,2,2,7,6*,-,11,63.63,0,0,0,1,0
R Jones (Blz),2024-2024,3,1,0,7,7,7.00,9,77.77,0,0,0,0,0
P Kumar (IND),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
RAS Lakmal (SL),2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0
ND McKenzie (SA),2006-2009,2,1,1,7,7*,-,8,87.50,0,0,0,0,0
DV Macome (MOZ),2022-2024,18,5,2,7,6,2.33,14,50.00,0,0,1,1,0
B Masauko (MWI),2022-2023,11,5,2,7,5*,2.33,14,50.00,0,0,1,0,0
A Nagarajan (QAT),2024-2024,4,2,1,7,7,7.00,6,116.66,0,0,0,1,0
Nangeyalia Kharote (AFG),2024-2024,6,5,3,7,4*,3.50,19,36.84,0,0,1,0,0
J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0
AY Patel (NZ),2018-2021,7,2,0,7,4,3.50,14,50.00,0,0,0,0,0
RB Patel (BUL),2020-2021,10,3,3,7,3*,-,14,50.00,0,0,0,0,0
Pratis GC (NEP),2023-2024,10,5,3,7,6*,3.50,11,63.63,0,0,2,0,0
Qadeer Ahmed (UAE),2015-2019,10,4,3,7,5*,7.00,12,58.33,0,0,1,1,0
Qasim Anwar (CYP),2021-2021,4,2,0,7,6,3.50,5,140.00,0,0,0,0,1
LN Rajbanshi (NEP),2018-2024,23,4,3,7,3,7.00,13,53.84,0,0,0,0,0
AK Roger (CIV),2024-2024,3,3,0,7,4,2.33,32,21.87,0,0,1,1,0
GA Rogers (SCOT),2008-2009,2,2,2,7,6*,-,8,87.50,0,0,0,0,0
Saqib Naveed (EST),2021-2022,4,2,1,7,4*,7.00,21,33.33,0,0,0,0,0
E Schiferli (NED),2008-2010,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0
D Siva Kumar (USA),2022-2022,1,1,0,7,7,7.00,13,53.84,0,0,0,1,0
JN Snape (ENG),2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0
SK Springer (WI),2024-2024,2,1,0,7,7,7.00,6,116.66,0,0,0,1,0
TJ Stephenson (Blz),2019-2021,4,1,1,7,7*,-,5,140.00,0,0,0,1,0
Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140.00,0,0,0,0,1
Sumair Khan (MLT),2019-2019,1,1,0,7,7,7.00,6,116.66,0,0,0,1,0
R Swart (BOT),2023-2023,4,3,1,7,6*,3.50,5,140.00,0,0,1,1,0
Syed Naqvi (ITA),2023-2024,4,4,0,7,4,1.75,16,43.75,0,0,1,0,0
Syed Rasel (BAN),2007-2008,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0
S Tabuisulu (Fiji),2023-2024,10,5,1,7,3,1.75,17,41.17,0,0,1,0,0
Tanveer Ahmed (HKG),2016-2017,5,2,1,7,7*,7.00,11,63.63,0,0,1,1,0
R Theruvath (QAT),2024-2024,2,2,0,7,5,3.50,8,87.50,0,0,0,0,0
J Thomas (STHEL),2024-2024,5,2,0,7,6,3.50,15,46.66,0,0,0,0,0
Tshering Tashi (2) (BHU),2024-2024,11,7,4,7,3*,2.33,25,28.00,0,0,1,0,0
Usama Mir (PAK),2024-2024,5,4,1,7,5,2.33,7,100.00,0,0,1,1,0
E Van Reenen (SRB),2024-2024,3,2,0,7,5,3.50,18,38.88,0,0,0,0,0
T Wuatai (COK),2024-2024,1,1,1,7,7*,-,24,29.16,0,0,0,1,0
Absar Khan (DEN),2021-2021,2,2,1,6,4*,6.00,9,66.66,0,0,0,0,0
BP Adapaka (HUN),2022-2023,17,7,4,6,2,2.00,18,33.33,0,0,1,0,0
Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
Ali Rasool (BUL),2024-2024,4,2,0,6,3,3.00,14,42.85,0,0,0,0,0
SRMJJ Arachchilage (CYP),2022-2022,4,3,2,6,6,6.00,12,50.00,0,0,0,0,0
V Ateak (GHA),2019-2024,7,2,1,6,5,6.00,15,40.00,0,0,0,0,0
Baljinder Singh (ROM),2023-2023,1,1,0,6,6,6.00,7,85.71,0,0,0,1,0
JW Bartlett (Chile),2023-2023,2,2,0,6,5,3.00,16,37.50,0,0,0,0,0
Basiru Jaye (GMB),2024-2024,2,1,0,6,6,6.00,4,150.00,0,0,0,1,0
E Batkhuyag (MNG),2024-2024,4,4,1,6,4*,2.00,13,46.15,0,0,1,1,0
DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.20,18,33.33,0,0,3,1,0
YS Chahal (IND),2016-2023,80,6,4,6,3*,3.00,13,46.15,0,0,0,0,0
T Cross (EST),2021-2021,2,2,0,6,5,3.00,12,50.00,0,0,0,0,0
David Demba (GMB),2023-2023,2,2,1,6,6*,6.00,10,60.00,0,0,1,0,0
S Draunivudi (Fiji),2022-2022,3,1,1,6,6*,-,4,150.00,0,0,0,1,0
RMS Eranga (SL),2012-2013,3,1,0,6,6,6.00,7,85.71,0,0,0,1,0
L Evile (Samoa),2019-2019,4,1,0,6,6,6.00,7,85.71,0,0,0,1,0
Faizan Mumtaz (NOR),2021-2021,3,3,0,6,4,2.00,15,40.00,0,0,1,0,0
K Fletcher (SUI),2022-2024,16,4,2,6,3*,3.00,17,35.29,0,0,1,0,0
E Frimpong (GHA),2024-2024,4,2,1,6,6*,6.00,4,150.00,0,0,1,1,0
BD Glover (NED),2019-2024,25,7,4,6,4*,2.00,12,50.00,0,0,3,1,0
JP Greaves (WI),2024-2024,1,1,0,6,6,6.00,5,120.00,0,0,0,0,0
NM Hauritz (AUS),2009-2009,3,2,0,6,4,3.00,10,60.00,0,0,0,1,0
PJ Hughes (AUS),2014-2014,1,1,0,6,6,6.00,8,75.00,0,0,0,1,0
Ihsanullah (PAK),2023-2023,4,1,1,6,6*,-,8,75.00,0,0,0,1,0
Javed Ahmadi (AFG),2012-2017,3,2,0,6,6,3.00,7,85.71,0,0,1,1,0
DC Jurel (IND),2024-2024,2,1,0,6,6,6.00,14,42.85,0,0,0,1,0
T Kahamker (ISR),2022-2024,6,3,2,6,4*,6.00,4,150.00,0,0,0,1,0
E Karimi (DEN),2023-2024,8,4,1,6,2,2.00,17,35.29,0,0,0,0,0
W Kokaua (COK),2022-2022,5,2,1,6,4,6.00,11,54.54,0,0,0,0,0
M Kristensen (DEN),2023-2023,2,1,0,6,6,6.00,10,60.00,0,0,0,1,0
Luo Shilin (CHN),2023-2024,11,7,2,6,3*,1.20,36,16.66,0,0,2,0,0
Z McLaughlin (CAY),2019-2019,3,2,2,6,4*,-,16,37.50,0,0,0,0,0
KO Meth (ZIM),2012-2012,2,1,1,6,6*,-,6,100.00,0,0,0,0,0
Milad Momend (LUX),2023-2024,6,4,1,6,6,2.00,20,30.00,0,0,2,1,0
Mohsin Shabbir (KSA),2023-2023,3,3,0,6,5,2.00,18,33.33,0,0,1,0,0
Muhammet Bicer (TKY),2023-2024,6,4,2,6,5,3.00,7,85.71,0,0,1,1,0
JK Mukhiya (NEP),2014-2022,10,3,2,6,5,6.00,12,50.00,0,0,0,0,0
J Mulder (IRE),2016-2017,8,4,2,6,5*,3.00,11,54.54,0,0,1,0,0
Noorullah Sidiqi (Belg),2023-2023,1,1,1,6,6*,-,1,600.00,0,0,0,0,1
A Orfila (GIBR),2019-2021,5,3,1,6,4*,3.00,13,46.15,0,0,1,0,0
T Ramautar (Sur),2024-2024,5,4,1,6,2,2.00,23,26.08,0,0,0,0,0
JA Rudolph (SA),2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
BC Sahin (TKY),2023-2023,3,2,0,6,5,3.00,19,31.57,0,0,0,1,0
SG Shinde (SRB),2022-2022,1,1,0,6,6,6.00,16,37.50,0,0,0,0,0
D Simpson (COK),2022-2022,3,2,0,6,4,3.00,8,75.00,0,0,0,0,0
JF Smith (SA),2024-2024,1,1,1,6,6*,-,6,100.00,0,0,0,0,0
M Stoman (PORT),2021-2021,3,1,1,6,6*,-,1,600.00,0,0,0,0,1
R Strydom (IRE),2008-2008,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0
S Tarawally (SLE),2021-2021,6,2,1,6,4*,6.00,11,54.54,0,0,0,0,0
K Tathgur (CAN),2024-2024,2,2,0,6,3,3.00,16,37.50,0,0,0,0,0
Tauqeer Hussain (ESP),2019-2020,6,2,1,6,3*,6.00,10,60.00,0,0,0,0,0
O Touray (GMB),2022-2022,3,2,0,6,6,3.00,9,66.66,0,0,1,0,0
N Vimukthi (SL),2023-2023,1,1,0,6,6,6.00,12,50.00,0,0,0,0,0
Vinay Iyer (JPN),2022-2022,2,1,0,6,6,6.00,10,60.00,0,0,0,1,0
TC Vine (ESP),2019-2022,11,1,1,6,6*,-,7,85.71,0,0,0,1,0
LB Williams (SA),2021-2024,15,7,3,6,2*,1.50,17,35.29,0,0,3,0,0
DGAPD Wiswi (INA),2024-2024,4,3,0,6,3,2.00,13,46.15,0,0,0,0,0
A Wright (CAY),2023-2024,7,3,2,6,3*,6.00,17,35.29,0,0,1,0,0
Zhao Tianle (CHN),2023-2024,7,6,0,6,4,1.00,28,21.42,0,0,3,0,0
ME Sanuth (OMA),2020-2020,1,1,0,5,5,5.00,7,71.42,0,0,0,0,0
P Abhijit (SEY),2022-2022,3,2,0,5,5,2.50,9,55.55,0,0,1,1,0
Aminullah Tanha (NOR),2022-2022,3,3,0,5,4,1.66,17,29.41,0,0,1,1,0
Ankit Dubey (SWE),2022-2022,2,1,1,5,5*,-,3,166.66,0,0,0,0,0
M Ansari (OMA),2015-2016,11,4,4,5,3*,-,10,50.00,0,0,0,0,0
VRB Arachchige (MLT),2024-2024,4,2,2,5,5*,-,3,166.66,0,0,0,1,0
MS Atapattu (SL),2006-2006,2,1,0,5,5,5.00,8,62.50,0,0,0,0,0
XC Bartlett (AUS),2024-2024,7,2,0,5,5,2.50,10,50.00,0,0,1,1,0
Bashir Ahmad (SUI),2024-2024,1,1,0,5,5,5.00,4,125.00,0,0,0,1,0
U Bhagwan (CAN),2024-2024,4,2,1,5,4,5.00,4,125.00,0,0,0,1,0
A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0
P Bhart (NOR),2019-2021,10,4,2,5,2*,2.50,25,20.00,0,0,1,0,0
D Brevis (SA),2023-2023,2,2,0,5,5,2.50,7,71.42,0,0,1,0,0
A Bushell (GUE),2023-2023,3,1,0,5,5,5.00,8,62.50,0,0,0,0,0
IG Butler (NZ),2009-2013,19,6,5,5,2*,5.00,10,50.00,0,0,0,0,0
T Caruana (GIBR),2019-2019,2,1,0,5,5,5.00,13,38.46,0,0,0,0,0
RD Chahar (IND),2019-2021,6,1,0,5,5,5.00,5,100.00,0,0,0,1,0
Charles Trott (BER),2023-2023,5,4,2,5,3*,2.50,12,41.66,0,0,2,0,0
Dhananjay Rao (HKG),2024-2024,8,3,0,5,5,1.66,8,62.50,0,0,2,0,0
J Drysdale (USA),2024-2024,8,3,2,5,4*,5.00,5,100.00,0,0,1,1,0
MTM Faatea (Samoa),2023-2023,3,3,0,5,4,1.66,17,29.41,0,0,1,1,0
MNK Fernando (SL),2023-2023,1,1,0,5,5,5.00,8,62.50,0,0,0,1,0
S Franklin (SUI),2021-2021,2,1,0,5,5,5.00,6,83.33,0,0,0,0,0
Hasheem Shahzad (MLT),2019-2019,2,2,0,5,5,2.50,9,55.55,0,0,1,1,0
T Hinds (WI),2024-2024,2,1,1,5,5*,-,3,166.66,0,0,0,1,0
Husnain Kabeer (GER),2021-2021,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
Ikbal Hossain (Fran),2024-2024,3,1,1,5,5*,-,3,166.66,0,0,0,1,0
Imran Ali (KUW),2019-2019,4,2,1,5,5*,5.00,6,83.33,0,0,1,0,0
G Irvin (Bhm),2021-2021,2,2,1,5,4,5.00,17,29.41,0,0,0,1,0
Ismail Sardar (THA),2020-2020,2,2,0,5,3,2.50,16,31.25,0,0,0,0,0
Jaison Jerome (MLT),2022-2023,9,4,1,5,3,1.66,17,29.41,0,0,1,0,0
G Johnson (STHEL),2022-2022,7,2,1,5,3,5.00,13,38.46,0,0,0,0,0
S Joseph (WI),2024-2024,9,3,3,5,5*,-,4,125.00,0,0,0,1,0
Kalyan Manne (Mex),2024-2024,1,1,0,5,5,5.00,3,166.66,0,0,0,1,0
Kamal Raiz (CYP),2024-2024,1,1,0,5,5,5.00,10,50.00,0,0,0,0,0
LP Kasturiarachchige (Aut),2021-2021,5,1,1,5,5*,-,3,166.66,0,0,0,1,0
D Kegasitswe (BOT),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0
Khawar Zafar (KSA),2020-2020,2,1,0,5,5,5.00,3,166.66,0,0,0,1,0
TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0
AM McCarthy (WI),2018-2018,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0
GD McGrath (AUS),2005-2005,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0
Mahmudul Hasan Joy (BAN),2023-2023,3,2,0,5,5,2.50,10,50.00,0,0,1,0,0
R Mangal (Fran),2022-2024,13,5,1,5,2*,1.25,11,45.45,0,0,2,0,0
CS Martin (NZ),2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
R Mbaiwa (BOT),2022-2023,3,2,0,5,3,2.50,14,35.71,0,0,0,0,0
G Miller (COK),2022-2022,2,2,2,5,5*,-,10,50.00,0,0,0,0,0
B Mngoma (SWZ),2024-2024,3,3,2,5,3*,5.00,16,31.25,0,0,0,0,0
Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
Mohsin Zaki (BHR),2023-2023,5,2,2,5,4*,-,9,55.55,0,0,0,0,0
Muhammad Ansar (KUW),2020-2020,4,1,0,5,5,5.00,5,100.00,0,0,0,1,0
Muhammad Farooq (CYP),2022-2022,1,1,0,5,5,5.00,4,125.00,0,0,0,1,0
Mukesh Kumar (IND),2023-2024,17,4,3,5,4*,5.00,5,100.00,0,0,1,1,0
GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0
T Mupariwa (ZIM),2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0
N M'shangwe (ZIM),2013-2014,5,2,1,5,5*,5.00,4,125.00,0,0,1,1,0
M Mwamadi (MWI),2019-2022,12,3,3,5,3*,-,10,50.00,0,0,0,0,0
MH Oman (SVN),2022-2022,4,3,1,5,2,2.50,21,23.80,0,0,0,0,0
MW Parkinson (ENG),2019-2022,6,4,0,5,5,1.25,11,45.45,0,0,3,1,0
Parvez Rasool (IND),2017-2017,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
D Paterson (SA),2017-2018,8,2,1,5,4*,5.00,2,250.00,0,0,0,1,0
JL Pattinson (AUS),2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0
LW Potthoff (CRT),2024-2024,2,1,1,5,5*,-,9,55.55,0,0,0,0,0
AG Prince (SA),2005-2005,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
Raja Adeel (ESP),2019-2024,27,6,2,5,2*,1.25,13,38.46,0,0,1,0,0
RJ Ranpura (OMA),2015-2016,3,2,2,5,5*,-,8,62.50,0,0,0,0,0
G Riley (GMB),2022-2024,3,3,0,5,3,1.66,22,22.72,0,0,1,0,0
Saeed Waqar Ali (SVN),2024-2024,5,3,2,5,3*,5.00,10,50.00,0,0,0,0,0
C Sakariya (IND),2021-2021,2,1,1,5,5*,-,9,55.55,0,0,0,0,0
AZ Shah (Fiji),2024-2024,2,2,1,5,4,5.00,17,29.41,0,0,0,0,0
DK Shetty (INA),2023-2024,5,1,1,5,5*,-,5,100.00,0,0,0,0,0
RJ Sidebottom (ENG),2007-2010,18,1,1,5,5*,-,4,125.00,0,0,0,1,0
M Sidibe (Mali),2022-2022,3,3,0,5,5,1.66,21,23.80,0,0,2,1,0
Sivakumar (CAM),2023-2023,6,2,2,5,3*,-,10,50.00,0,0,0,0,0
M Spry (Peru),2019-2019,4,2,1,5,3*,5.00,11,45.45,0,0,0,0,0
R Telemachus (SA),2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0
A Tripathi (Mex),2019-2024,8,5,2,5,1*,1.66,20,25.00,0,0,0,0,0
DR Tuffey (NZ),2005-2010,3,2,1,5,5*,5.00,5,100.00,0,0,1,1,0
T Ulutuna (TKY),2019-2022,6,4,0,5,4,1.25,11,45.45,0,0,2,1,0
Umran Malik (IND),2022-2023,8,2,2,5,4*,-,2,250.00,0,0,0,1,0
B Vakatini (COK),2022-2022,5,3,1,5,5,2.50,8,62.50,0,0,1,0,0
AC Valthapa (UAE),2024-2024,1,1,0,5,5,5.00,12,41.66,0,0,0,1,0
K Vislapuu (EST),2021-2024,20,6,2,5,3*,1.25,8,62.50,0,0,2,0,0
C Vorster (GUE),2019-2019,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0
J Yon (STHEL),2024-2024,2,1,1,5,5*,-,5,100.00,0,0,0,0,0
G Aburto (Chile),2023-2023,2,2,0,4,4,2.00,10,40.00,0,0,1,1,0
N Advani (GIBR),2019-2024,9,4,1,4,2*,1.33,13,30.76,0,0,2,0,0
Ali Abbas (KSA),2020-2020,1,1,1,4,4*,-,4,100.00,0,0,0,0,0
Altaf Gill (SKOR),2024-2024,3,2,0,4,3,2.00,18,22.22,0,0,0,0,0
TD Astle (NZ),2016-2021,5,2,0,4,3,2.00,10,40.00,0,0,0,0,0
Awais Ikram (SVN),2022-2022,2,2,0,4,2,2.00,6,66.66,0,0,0,0,0
GJ Batty (ENG),2009-2009,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0
P Bharat Patel (PAN),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0
JAR Blain (SCOT),2007-2008,6,3,1,4,3*,2.00,5,80.00,0,0,1,0,0
VF Bomnyuy (CAM),2024-2024,5,3,2,4,4*,4.00,8,50.00,0,0,1,0,0
CJ Boyce (AUS),2014-2016,7,2,1,4,3,4.00,7,57.14,0,0,0,0,0
PR Brown (ENG),2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
IW Budiarta (INA),2022-2024,5,3,1,4,4*,2.00,5,80.00,0,0,2,1,0
K Burrows (Bhm),2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
NM Carter (SCOT),2013-2013,7,2,0,4,3,2.00,12,33.33,0,0,0,0,0
Cihan Altun (TKY),2023-2023,3,1,0,4,4,4.00,2,200.00,0,0,0,1,0
PC Connell (IRE),2008-2010,9,3,2,4,3*,4.00,7,57.14,0,0,1,0,0
PA Desai (CAN),2012-2012,1,1,1,4,4*,-,7,57.14,0,0,0,0,0
AB Dursak (TKY),2019-2019,4,4,0,4,3,1.00,24,16.66,0,0,2,0,0
Elan Talker (ISR),2022-2024,8,1,1,4,4*,-,3,133.33,0,0,0,0,0
C Emmott (Chile),2019-2019,2,2,0,4,4,2.00,11,36.36,0,0,1,0,0
LKW Ezechiel (CIV),2024-2024,4,4,1,4,4,1.33,25,16.00,0,0,2,0,0
D Faletar (CRT),2023-2023,4,3,1,4,4*,2.00,15,26.66,0,0,2,1,0
Farhan Ahmed (UAE),2016-2016,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0
Gagandeep Singh (GHA),2022-2022,2,2,2,4,3*,-,6,66.66,0,0,0,0,0
JOA Gordon (CAN),2013-2024,17,3,2,4,2*,4.00,8,50.00,0,0,0,0,0
KDACK Gunarathne (CAM),2024-2024,3,3,1,4,3,2.00,18,22.22,0,0,1,0,0
RW Hartley (SRB),2024-2024,2,2,1,4,4*,4.00,14,28.57,0,0,1,0,0
Lee Hwanhee (SKOR),2022-2022,2,2,0,4,3,2.00,9,44.44,0,0,0,0,0
Imran Haider (UAE),2016-2019,11,2,2,4,4*,-,8,50.00,0,0,0,0,0
Imran Yousaf (KSA),2020-2024,11,3,2,4,2*,4.00,8,50.00,0,0,0,0,0
D Issiaka (CIV),2024-2024,5,5,0,4,2,0.80,37,10.81,0,0,3,0,0
Itibarshah Deedar (Aut),2022-2024,10,3,2,4,4*,4.00,8,50.00,0,0,1,0,0
Jaikumar Thakur (CRT),2024-2024,2,2,0,4,4,2.00,13,30.76,0,0,1,0,0
JNT Seales (WI),2024-2024,1,1,1,4,4*,-,2,200.00,0,0,0,1,0
A Karn (NEP),2015-2015,2,1,0,4,4,4.00,7,57.14,0,0,0,0,0
N Katechis (GRC),2024-2024,4,2,1,4,3*,4.00,17,23.52,0,0,0,0,0
J Kemp (JER),2024-2024,5,2,0,4,3,2.00,7,57.14,0,0,0,0,0
Khalander Mustafa (KSA),2023-2023,6,1,1,4,4*,-,1,400.00,0,0,0,1,0
MF Koc (TKY),2019-2019,3,3,1,4,4*,2.00,17,23.52,0,0,2,0,0
CK Langeveldt (SA),2005-2010,9,3,2,4,2*,4.00,8,50.00,0,0,0,0,0
Lemar Momand (SWE),2021-2022,7,3,2,4,2*,4.00,10,40.00,0,0,1,0,0
I Lisboa (Chile),2019-2023,2,2,0,4,2,2.00,9,44.44,0,0,0,0,0
NM Lyon (AUS),2016-2018,2,1,1,4,4*,-,4,100.00,0,0,0,0,0
RT Lyons (SCOT),2010-2010,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0
D Malinga (SWZ),2022-2022,3,3,0,4,3,1.33,10,40.00,0,0,1,0,0
M Manivannan (CAY),2023-2023,1,1,1,4,4*,-,7,57.14,0,0,0,1,0
GE Mathurin (WI),2011-2012,3,2,2,4,3*,-,5,80.00,0,0,0,0,0
Mohammad Irfan (PAK),2012-2019,22,4,4,4,2*,-,8,50.00,0,0,0,0,0
Mohammad Tauqir (UAE),2015-2015,3,2,1,4,4,4.00,6,66.66,0,0,0,1,0
A Mongar (BHU),2023-2023,2,1,0,4,4,4.00,6,66.66,0,0,0,0,0
Mrittunjoy Chowdhury (BAN),2023-2023,1,1,0,4,4,4.00,11,36.36,0,0,0,0,0
Muhammad Khurram (MWI),2019-2019,5,3,0,4,3,1.33,20,20.00,0,0,1,0,0
Muhammad Rafique (BHR),2019-2019,2,1,0,4,4,4.00,5,80.00,0,0,0,0,0
JM Muirhead (AUS),2014-2014,5,2,1,4,3,4.00,8,50.00,0,0,0,0,0
Musa Twala (SWZ),2022-2022,5,3,1,4,2*,2.00,13,30.76,0,0,1,0,0
Mustafa Omer (Fran),2021-2021,1,1,0,4,4,4.00,11,36.36,0,0,0,0,0
Nazmus Sadat (BAN),2006-2006,1,1,0,4,4,4.00,3,133.33,0,0,0,0,0
JO Ngoche (KENYA),2012-2013,7,3,1,4,2,2.00,17,23.52,0,0,0,0,0
Nijat Masood (AFG),2022-2022,3,1,1,4,4*,-,5,80.00,0,0,0,0,0
R Parkin (EST),2024-2024,4,2,0,4,4,2.00,4,100.00,0,0,1,1,0
AEV Puentes (Chile),2023-2023,2,1,1,4,4*,-,14,28.57,0,0,0,0,0
Qasim Zia (BHR),2019-2019,3,1,1,4,4*,-,1,400.00,0,0,0,1,0
RJ Ramjiawan (Sur),2024-2024,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
NJ Reardon (AUS),2014-2014,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
S Rukmal (SEY),2022-2024,12,5,2,4,4*,1.33,14,28.57,0,0,3,1,0
JE Scott (Bhm),2023-2023,4,2,0,4,4,2.00,7,57.14,0,0,1,0,0
Shan Siddiqui (GMB),2024-2024,2,1,0,4,4,4.00,3,133.33,0,0,0,1,0
NJA Smith (PHI),2023-2023,3,2,0,4,4,2.00,9,44.44,0,0,1,0,0
ADL Stokoe (IOM),2021-2021,4,1,0,4,4,4.00,9,44.44,0,0,0,0,0
Suhrid Roy (MLT),2019-2021,2,2,2,4,2*,-,7,57.14,0,0,0,0,0
SP Terry (IRE),2016-2016,1,1,0,4,4,4.00,6,66.66,0,0,0,0,0
T Thushara (SL),2008-2010,6,2,0,4,3,2.00,8,50.00,0,0,0,0,0
S Udawaththa (UAE),2023-2023,1,1,0,4,4,4.00,10,40.00,0,0,0,0,0
Yasser Nazir (BHR),2023-2023,2,2,0,4,4,2.00,18,22.22,0,0,1,0,0
Yousuf Ali (QAT),2022-2023,4,1,0,4,4,4.00,3,133.33,0,0,0,1,0
Abul Farhad (CZK-R),2022-2024,9,2,1,3,3*,3.00,6,50.00,0,0,1,0,0
Abu Jayed (BAN),2018-2018,3,2,0,3,2,1.50,7,42.85,0,0,0,0,0
AG Achar (SGP),2019-2023,9,3,2,3,2*,3.00,5,60.00,0,0,0,0,0
GJ Agius (MLT),2019-2019,2,2,0,3,3,1.50,15,20.00,0,0,1,0,0
Amir Hayat (UAE),2018-2019,4,2,0,3,3,1.50,6,50.00,0,0,1,0,0
B Angeltti (Arg),2019-2024,9,3,0,3,2,1.00,9,33.33,0,0,1,0,0
A Aspiotis (GRC),2019-2019,3,1,1,3,3*,-,4,75.00,0,0,0,0,0
S Barnett (IOM),2024-2024,2,2,0,3,3,1.50,10,30.00,0,0,1,0,0
MC Bascombe (WI),2011-2011,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0
Bashir Shah (DEN),2019-2021,9,4,3,3,1*,3.00,7,42.85,0,0,1,0,0
